Model,MAE,RMSE,R2,MAPE
Random Forest,1056.9043743602606,2634.714123929516,0.8941279859834425,23.47772304444076
Gradient Boosting,1553.3086460373547,3131.8049281165936,0.8504096487328535,40.63318925194348
Decision Tree,1375.3779002578008,3346.484113369576,0.8291984879955867,29.331467648782667
Linear Regression,2087.3822792065203,4415.19990995667,0.7026863010889217,70.12546014781702
